Genotype,Trial_type,Year,Selection ,DMC,Yield,YMV,Tuber_flesh_Oxidation
TDr1655013,APT1,2021,Unselected,34,14.70666667,2.7,7
TDr1655015,APT1,2021,Unselected,31,18.8,2.4,7
TDr1655016,APT1,2021,Unselected,33.33333333,2.55,2.2,3
TDr1655018,APT1,2021,Unselected,32,16.96875,2.663095238,5
TDr1655023,APT1,2021,Unselected,32.19178082,12.745,2.15,3
TDr1669010,APT1,2021,Selected ,36.33333333,34.7625,2.4125,3
TDr1669013,APT1,2021,Selected ,27.66666667,32.85,2.7,5
TDr8902665,APT1,2021,Check,36.33333333,16.68,2.516666667,5
TDr9518544,APT1,2021,Check,38.66666667,23.4625,2.7625,1
TDr9519177,APT1,2021,Check,33,22.28125,2.7,3
OjuIyawo,APT3,2021,Check,35.2,9.495,2.698,3
TDr0900067,APT3,2021,Unselected,33.6,21.81,2.54,3
TDr1617001,APT3,2021,Unselected,34,15.4,2.457142857,5
TDr1617604,APT3,2021,Selected ,32,25.475,2.9,3
TDr1617610,APT3,2021,Unselected,32,12.425,2.8,5
TDr1617709,APT3,2021,Unselected,32.66666667,8.3875,2.533333333,3
TDr1617711,APT3,2021,Selected ,40,20.9875,2.5,1
TDr1617810,APT3,2021,Unselected,39.33333333,31.6625,2.8,5
TDr1617811,APT3,2021,Selected ,35.33333333,34.475,2.7,3
TDr1617909,APT3,2021,Unselected,26.66666667,29.2375,2.775,5
TDr1618005,APT3,2021,Unselected,32.66666667,22.2375,2.875,3
TDr1618108,APT3,2021,Selected ,37.33333333,25.4125,2.425,5
TDr1618112,APT3,2021,Unselected,32.66666667,24.8375,2.925,1
TDr1618506,APT3,2021,Unselected,32.66666667,27.2375,2.95,5
TDr1618701,APT3,2021,Unselected,34,23.35,2.632142857,1
TDr1618702,APT3,2021,Unselected,34,31,2.875,7
TDr1618707,APT3,2021,Selected ,29.33333333,25.8625,2.760714286,3
TDr1618709,APT3,2021,Unselected,28,26.5125,2.875,3
TDr1618901,APT3,2021,Unselected,32.66666667,27.9,2.828571429,3
TDr1619012,APT3,2021,Unselected,32.66666667,29.3125,2.925,1
TDr1619204,APT3,2021,Unselected,30,13.325,2.75,1
TDr1619306,APT3,2021,Unselected,26.66666667,15.875,2.866666667,7
TDr1619803,APT3,2021,Unselected,30.66666667,26.1625,2.782142857,7
TDr1620403,APT3,2021,Unselected,34,20.8625,2.825,7
TDr1621003A,APT3,2021,Selected ,29.33333333,28.625,2.8,7
TDr1621405,APT3,2021,Selected ,34,20.7625,2.95,1
TDr1621406,APT3,2021,Unselected,38.66666667,22.7125,2.825,1
TDr8902665,APT3,2021,Check,37.86666667,18.2175,2.733333333,3
OjuIyawo,NPT1,2022,Check,36,17.51875,2.8,1
TDr1617604,NPT1,2022,Selected ,33.33333333,21.96190476,2.89,5
TDr1617711,NPT1,2022,Selected ,40,21.73928571,2.816666667,3
TDr1617811,NPT1,2022,Selected ,33.33333333,39.10714286,2.64952381,3
TDr1618108,NPT1,2022,Selected ,29.66666667,64.48,2.565,5
TDr1618707,NPT1,2022,Selected ,33.33333333,18.83333333,2.6,3
TDr1620010,NPT1,2022,Selected ,36.33333333,18.025,2.558333333,3
TDr1620015,NPT1,2022,Selected ,34.66666667,26.40714286,2.8,1
TDr1621003A,NPT1,2022,Selected ,28.66666667,47.2,2.62,5
TDr1621016,NPT1,2022,Selected ,26,36.1047619,2.783333333,3
TDr1621405,NPT1,2022,Selected ,37,41.125,2.828571429,3
TDr1652005,NPT1,2022,Selected ,33,32.0125,2.860714286,5
TDr1669010,NPT1,2022,Selected ,36.33333333,41.075,2.464285714,3
TDr1669013,NPT1,2022,Selected ,33.33333333,23.45833333,2.566666667,7
TDr1682003,NPT1,2022,Selected ,31.66666667,42.29761905,2.754761905,3
TDr9519177,NPT1,2022,Check,35,41.10625,2.666666667,5
