PlotName,Plot-No,ENV,Rep,Blk,Entry,Pedigree,DA,DS,ASI,PHT,EHT,RL,SL,HCV,PASP,EASP,EPP,EAROT  ,GY,STGC
BA21364-IK'DT-1063,1063,MD,1,5,E117,TZEEIOR 515 X TZEEIOR 197 ,49,49,0,183.4,80.6,3,4,4,4,4,0.944444444,0,3329.62963,4
BA21364-IK'DT-1064,1064,MD,1,5,E190,TZEEIOR 249 X TZEEIOR 9 A ,47,47,0,179.8,81.4,5,4,3,4,3,0.833333333,1.156347201,2940.653595,4
BA21364-IK'DT-1065,1065,MD,1,5,E44,TZEEIOR 290 X TZEEIOR 97,50,49,1,180.8,83.6,5,5,2,5,2,0.777777778,1.184285738,3708.932462,5
BA21364-IK'DT-1066,1066,MD,1,5,E159,TZEEIOR 540 X TZEEIOR 30,47,46,1,182,77.8,5,5,2,5,2,1,0,4606.535948,6
BA21364-IK'DT-1067,1067,MD,1,5,E140,TZEEIOR 526 X TZEEIOR 197,48,50,2,182.2,73,3,5,4,5,4,0.833333333,0,2726.797386,5
BA21364-IK'DT-1068,1068,MD,1,5,E4,TZEEIOR 396 X TZEEIOR  9 A,47,46,1,182.2,77.4,4,4,2,4,2,1.055555556,0.79679336,4158.823529,6
BA21364-IK'DT-1069,1069,MD,1,5,E99,TZEEIOR 142 X TZEEIOR 249,49,50,1,182,85.4,5,3,4,3,4,1,1.247154615,2954.248366,3
BA21364-IK'DT-1070,1070,MD,1,5,E106,TZEEIOR 510 X TZEEIOR 249,48,48,0,170.8,80.2,3,4,4,4,4,1,1.083183988,2941.176471,4
BA21364-IK'DT-1071,1071,MD,1,6,E70,TZEEIOR 510 X TZEEIOR 97,50,51,1,171.8,92,3,5,3,5,3,1.055555556,1.061690514,4067.320261,4
BA21364-IK'DT-1072,1072,MD,1,6,E56,TZEEIOR 205 X TZEEIOR 97 ,53,55,2,161.2,95.6,5,6,5,6,5,0.5,0,1559.912854,5
BA21364-IK'DT-1073,1073,MD,1,6,E74,TZEEIOR 321 X TZEEIOR 249,48,48,0,167.2,78.8,3,5,3,5,3,0.833333333,1.156347201,2607.015251,5
BA21364-IK'DT-1074,1074,MD,1,6,E179,TZEEIOR 510 X TZEEIOR 30,49,49,0,171.6,80.8,1,2,2,2,2,1,0,5343.79085,3
BA21364-IK'DT-1075,1075,MD,1,6,E19,TZEEIOR 202 X TZEEIOR  9 A,50,50,0,176,84.2,3,4,4,4,4,0.944444444,0,2787.799564,5
BA21364-IK'DT-1076,1076,MD,1,6,E178,TZEEIOR 525 X TZEEIOR 30,50,50,0,164.8,72.6,1,4,4,4,4,0.833333333,0,2908.496732,3
BA21364-IK'DT-1077,1077,MD,1,6,E184,TZEEIOR 30 X TZEEIOR 9 A,49,49,0,165.4,78,4,4,3,4,3,1.055555556,0,3750.326797,5
BA21364-IK'DT-1078,1078,MD,1,6,E107,TZEEIOR 546 X TZEEIOR 249,48,48,0,172.2,75.2,5,4,4,4,4,1,1.365903777,2720.697168,5
BA21364-IK'DT-1079,1079,MD,1,6,E26,TZEEIOR 221 X TZEEIOR  9 A ,50,50,0,160,90.8,3,5,5,5,5,0.722222222,0,1568.627451,6
BA21364-IK'DT-1080,1080,MD,1,6,E6,TZEEIOR 289 X TZEEIOR  9 A,50,50,0,155,74.8,6,6,5,6,5,1,1.083183988,2654.379085,6
BA21364-IK'DT-1081,1081,MD,1,6,E33,TZEEIOR 525 X TZEEIOR  9 A,49,49,0,145.6,74.6,4,6,5,6,5,0.888888889,0,2026.666667,5
BA21364-IK'DT-1082,1082,MD,1,6,E169,TZEEIOR 45 X TZEE OR 30,54,55,1,156.6,65.4,3,7,6,7,6,0.411764706,0,761.6557734,6
