Isolate Code,Rep,Hours,Diameter growth
CCF 104 (Fusarium equesti),4,24,1
A 33 (Fusarium oxysporum),1,24,1.1
A 33 (Fusarium oxysporum),2,24,1.1
A 33 (Fusarium oxysporum),3,24,1.1
A 33 (Fusarium oxysporum),4,24,1
B 15 (Fusarium solani),1,24,1
B 15 (Fusarium solani),2,24,1
B 15 (Fusarium solani),3,24,1
B 15 (Fusarium solani),4,24,1
C 2 (Fusarium solani),1,24,1
C 2 (Fusarium solani),2,24,1
C 2 (Fusarium solani),3,24,0.9
C 2 (Fusarium solani),4,24,1
Osogbo 77 (Fusarium oxysporum),1,24,0.9
Osogbo 77 (Fusarium oxysporum),2,24,0.9
Osogbo 77 (Fusarium oxysporum),3,24,0.9
Osogbo 77 (Fusarium oxysporum),4,24,0.9
Osogbo 81 (Fusarium oxysporum),1,24,0.9
Osogbo 81 (Fusarium oxysporum),2,24,1.1
Osogbo 81 (Fusarium oxysporum),3,24,1.1
Osogbo 81 (Fusarium oxysporum),4,24,1.1
Osogbo 79 (Fusarium oxysporum),1,24,0.9
Osogbo 79 (Fusarium oxysporum),2,24,0.9
Osogbo 79 (Fusarium oxysporum),3,24,1
Osogbo 79 (Fusarium oxysporum),4,24,1
Osogbo 85 (Fusarium oxysporum),1,24,1.1
Osogbo 85 (Fusarium oxysporum),2,24,1
Osogbo 85 (Fusarium oxysporum),3,24,0.9
Osogbo 85 (Fusarium oxysporum),4,24,1
Osogbo 89 (Fusarium solani),1,24,1
Osogbo 89 (Fusarium solani),2,24,1
Osogbo 89 (Fusarium solani),3,24,0.9
Osogbo 89 (Fusarium solani),4,24,1.1
Osogbo 84 (Fusarium verticillioides),1,24,1
Osogbo 84 (Fusarium verticillioides),2,24,1.1
Osogbo 84 (Fusarium verticillioides),3,24,1
Osogbo 84 (Fusarium verticillioides),4,24,1.1
Osogbo 74 (Fusarium verticillioides),1,24,1.1
Osogbo 74 (Fusarium verticillioides),2,24,1.1
Osogbo 74 (Fusarium verticillioides),3,24,1.1
Osogbo 74 (Fusarium verticillioides),4,24,1.3
Osogbo 92 (Fusarium verticillioides),1,24,0.9
Osogbo 92 (Fusarium verticillioides),2,24,1
Osogbo 92 (Fusarium verticillioides),3,24,0.9
Osogbo 92 (Fusarium verticillioides),4,24,0.9
Osogbo 90 (Fusarium oxysporom),1,24,1
Osogbo 90 (Fusarium oxysporom),2,24,1
Osogbo 90 (Fusarium oxysporom),3,24,1.2
Osogbo 90 (Fusarium oxysporom),4,24,1.1
A 19 (Fusarium solani),1,24,1.1
A 19 (Fusarium solani),2,24,1.1
A 19 (Fusarium solani),3,24,1.1
A 19 (Fusarium solani),4,24,1.1
B 29 (Fusarium solani),1,24,1.1
B 29 (Fusarium solani),2,24,1
B 29 (Fusarium solani),3,24,1
B 29 (Fusarium solani),4,24,1.1
A 15 (Fusarium sporotrichioides),1,24,0.9
A 15 (Fusarium sporotrichioides),2,24,0.9
A 15 (Fusarium sporotrichioides),3,24,0.9
A 15 (Fusarium sporotrichioides),4,24,1
B 18 (Fusarium oxsporum),1,24,1
B 18 (Fusarium oxsporum),2,24,1.1
B 18 (Fusarium oxsporum),3,24,1.1
B 18 (Fusarium oxsporum),4,24,1
A 41 (Fusarium oxysporum),1,24,0.9
A 41 (Fusarium oxysporum),2,24,1
A 41 (Fusarium oxysporum),3,24,0.9
A 41 (Fusarium oxysporum),4,24,1
A 29 (Fusarium verticillioides),1,24,0.9
A 29 (Fusarium verticillioides),2,24,1
A 29 (Fusarium verticillioides),3,24,0.9
A 29 (Fusarium verticillioides),4,24,1
FUS-HR-NIS 52 (Fusarium oxysporum),1,24,1.3
FUS-HR-NIS 52 (Fusarium oxysporum),2,24,1.4
FUS-HR-NIS 52 (Fusarium oxysporum),3,24,1.3
FUS-HR-NIS 52 (Fusarium oxysporum),4,24,1.4
FUS-HR-NIS 38 (Fusarium solani),1,24,0.9
FUS-HR-NIS 38 (Fusarium solani),2,24,0.9
FUS-HR-NIS 38 (Fusarium solani),3,24,1
FUS-HR-NIS 38 (Fusarium solani),4,24,1.2
FUS-SV-NIS 26 (Fusarium sporotrichioides),1,24,0.9
FUS-SV-NIS 26 (Fusarium sporotrichioides),2,24,0.9
FUS-SV-NIS 26 (Fusarium sporotrichioides),3,24,1
FUS-SV-NIS 26 (Fusarium sporotrichioides),4,24,0.9
FUS-SV-NIS 90 (Fusarium solani),1,24,1
FUS-SV-NIS 90 (Fusarium solani),2,24,1
FUS-SV-NIS 90 (Fusarium solani),3,24,1
FUS-SV-NIS 90 (Fusarium solani),4,24,1
FUS-SV-NIS 96 (Fusarium oxysporum),1,24,0.9
FUS-SV-NIS 96 (Fusarium oxysporum),2,24,0.9
FUS-SV-NIS 96 (Fusarium oxysporum),3,24,1
FUS-SV-NIS 96 (Fusarium oxysporum),4,24,0.9
FUS-SV-NIS 84 (Fusarium sporotrichioides),1,24,0.8
FUS-SV-NIS 84 (Fusarium sporotrichioides),2,24,0.9
FUS-SV-NIS 84 (Fusarium sporotrichioides),3,24,0.8
FUS-SV-NIS 84 (Fusarium sporotrichioides),4,24,0.9
CCF 104 (Fusarium equesti),1,36,1.2
CCF 104 (Fusarium equesti),2,36,1.2
CCF 104 (Fusarium equesti),3,36,1.3
CCF 104 (Fusarium equesti),4,36,1.3
A 33 (Fusarium oxysporum),1,36,1.5
A 33 (Fusarium oxysporum),2,36,1.5
A 33 (Fusarium oxysporum),3,36,1.5
A 33 (Fusarium oxysporum),4,36,1.4
B 15 (Fusarium solani),1,36,1.3
B 15 (Fusarium solani),2,36,1.2
B 15 (Fusarium solani),3,36,1.3
B 15 (Fusarium solani),4,36,1.3
C 2 (Fusarium solani),1,36,1.2
C 2 (Fusarium solani),2,36,1.2
C 2 (Fusarium solani),3,36,1.1
C 2 (Fusarium solani),4,36,1.2
Osogbo 77 (Fusarium oxysporum),1,36,1.2
Osogbo 77 (Fusarium oxysporum),2,36,1.2
Osogbo 77 (Fusarium oxysporum),3,36,1.1
Osogbo 77 (Fusarium oxysporum),4,36,1.2
Osogbo 81 (Fusarium oxysporum),1,36,1.2
Osogbo 81 (Fusarium oxysporum),2,36,1.3
Osogbo 81 (Fusarium oxysporum),3,36,1.4
Osogbo 81 (Fusarium oxysporum),4,36,1.4
Osogbo 79 (Fusarium oxysporum),1,36,1.1
Osogbo 79 (Fusarium oxysporum),2,36,1.1
Osogbo 79 (Fusarium oxysporum),3,36,1.2
Osogbo 79 (Fusarium oxysporum),4,36,1.3
Osogbo 85 (Fusarium oxysporum),1,36,1.3
Osogbo 85 (Fusarium oxysporum),2,36,1.2
Osogbo 85 (Fusarium oxysporum),3,36,1.1
Osogbo 85 (Fusarium oxysporum),4,36,1.2
Osogbo 89 (Fusarium solani),1,36,1.2
Osogbo 89 (Fusarium solani),2,36,1.2
Osogbo 89 (Fusarium solani),3,36,1.1
Osogbo 89 (Fusarium solani),4,36,1.3
Osogbo 84 (Fusarium verticillioides),1,36,1.2
Osogbo 84 (Fusarium verticillioides),2,36,1.3
Osogbo 84 (Fusarium verticillioides),3,36,1.2
Osogbo 84 (Fusarium verticillioides),4,36,1.3
Osogbo 74 (Fusarium verticillioides),1,36,1.3
Osogbo 74 (Fusarium verticillioides),2,36,1.3
Osogbo 74 (Fusarium verticillioides),3,36,1.3
Osogbo 74 (Fusarium verticillioides),4,36,1.5
Osogbo 92 (Fusarium verticillioides),1,36,1.1
Osogbo 92 (Fusarium verticillioides),2,36,1.2
Osogbo 92 (Fusarium verticillioides),3,36,1.1
Osogbo 92 (Fusarium verticillioides),4,36,1.1
Osogbo 90 (Fusarium oxysporom),1,36,1.2
Osogbo 90 (Fusarium oxysporom),2,36,1.3
Osogbo 90 (Fusarium oxysporom),3,36,1.4
Osogbo 90 (Fusarium oxysporom),4,36,1.4
A 19 (Fusarium solani),1,36,1.4
A 19 (Fusarium solani),2,36,1.4
A 19 (Fusarium solani),3,36,1.4
A 19 (Fusarium solani),4,36,1.4
B 29 (Fusarium solani),1,36,1.4
B 29 (Fusarium solani),2,36,1.3
B 29 (Fusarium solani),3,36,1.3
B 29 (Fusarium solani),4,36,1.4
A 15 (Fusarium sporotrichioides),1,36,1.3
A 15 (Fusarium sporotrichioides),2,36,1.3
A 15 (Fusarium sporotrichioides),3,36,1.2
A 15 (Fusarium sporotrichioides),4,36,1.3
B 18 (Fusarium oxsporum),1,36,1.3
B 18 (Fusarium oxsporum),2,36,1.3
B 18 (Fusarium oxsporum),3,36,1.3
B 18 (Fusarium oxsporum),4,36,1.3
A 41 (Fusarium oxysporum),1,36,1.1
A 41 (Fusarium oxysporum),2,36,1.2
A 41 (Fusarium oxysporum),3,36,1.1
A 41 (Fusarium oxysporum),4,36,1.3
A 29 (Fusarium verticillioides),1,36,1.1
A 29 (Fusarium verticillioides),2,36,1.2
A 29 (Fusarium verticillioides),3,36,1.1
A 29 (Fusarium verticillioides),4,36,1.2
FUS-HR-NIS 52 (Fusarium oxysporum),1,36,1.5
FUS-HR-NIS 52 (Fusarium oxysporum),2,36,1.6
FUS-HR-NIS 52 (Fusarium oxysporum),3,36,1.5
FUS-HR-NIS 52 (Fusarium oxysporum),4,36,1.6
FUS-HR-NIS 38 (Fusarium solani),1,36,1.1
FUS-HR-NIS 38 (Fusarium solani),2,36,1
FUS-HR-NIS 38 (Fusarium solani),3,36,1.1
FUS-HR-NIS 38 (Fusarium solani),4,36,1.3
FUS-SV-NIS 26 (Fusarium sporotrichioides),1,36,1.1
FUS-SV-NIS 26 (Fusarium sporotrichioides),2,36,1.1
FUS-SV-NIS 26 (Fusarium sporotrichioides),3,36,1.2
FUS-SV-NIS 26 (Fusarium sporotrichioides),4,36,1
FUS-SV-NIS 90 (Fusarium solani),1,36,1.3
FUS-SV-NIS 90 (Fusarium solani),2,36,1.3
FUS-SV-NIS 90 (Fusarium solani),3,36,1.2
FUS-SV-NIS 90 (Fusarium solani),4,36,1.3
FUS-SV-NIS 96 (Fusarium oxysporum),1,36,1.2
FUS-SV-NIS 96 (Fusarium oxysporum),2,36,1.2
FUS-SV-NIS 96 (Fusarium oxysporum),3,36,1.2
FUS-SV-NIS 96 (Fusarium oxysporum),4,36,1.1
FUS-SV-NIS 84 (Fusarium sporotrichioides),1,36,1
FUS-SV-NIS 84 (Fusarium sporotrichioides),2,36,1
FUS-SV-NIS 84 (Fusarium sporotrichioides),3,36,1
FUS-SV-NIS 84 (Fusarium sporotrichioides),4,36,1
CCF 104 (Fusarium equesti),1,48,1.5
CCF 104 (Fusarium equesti),2,48,1.5
CCF 104 (Fusarium equesti),3,48,1.6
CCF 104 (Fusarium equesti),4,48,1.6
A 33 (Fusarium oxysporum),1,48,1.9
A 33 (Fusarium oxysporum),2,48,1.9
A 33 (Fusarium oxysporum),3,48,1.9
A 33 (Fusarium oxysporum),4,48,1.9
B 15 (Fusarium solani),1,48,1.6
B 15 (Fusarium solani),2,48,1.6
B 15 (Fusarium solani),3,48,1.6
B 15 (Fusarium solani),4,48,1.5
C 2 (Fusarium solani),1,48,1.4
C 2 (Fusarium solani),2,48,1.4
C 2 (Fusarium solani),3,48,1.4
C 2 (Fusarium solani),4,48,1.6
Osogbo 77 (Fusarium oxysporum),1,48,1.5
Osogbo 77 (Fusarium oxysporum),2,48,1.5
Osogbo 77 (Fusarium oxysporum),3,48,1.5
Osogbo 77 (Fusarium oxysporum),4,48,1.5
Osogbo 81 (Fusarium oxysporum),1,48,1.4
Osogbo 81 (Fusarium oxysporum),2,48,1.5
