PlotName,plot,ENV,Rep,Blk,Entry,Pedigree,DP,DS,ASI,PHT,EHT,HCV,PASP,EASP,RL,SL,EPP,EAROT,GY,STGC,Turcicum 10 WAP
BA22365-IK'OPT-2189,2399,WW,2,27,E22,TZEEIOR 310,51,51,0,103.6,38.4,5,5,5,0,23.08,0.69,22.22,1176.514161,,5
BA22365-IK'OPT-2190,2400,WW,2,27,E132,TZEEIOR 538,48,47,1,124.6,46.2,4,4,4,0,16.67,1.06,15.79,2747.189542,,3
BA22365-IK'OPT-2191,2401,WW,2,27,E161,TZEEIOR 38,54,53,1,128,68,4,7,5,0,0,0.79,54.55,777.3420479,,7
BA22365-IK'OPT-2192,2402,WW,2,27,E164,TZEEIOR 126,54,54,0,106.8,44.6,4,6,5,0,62.5,0.56,22.22,807.0588235,,6
BA22365-IK'OPT-2193,2403,WW,2,27,E70,TZEEIOR 398,49,48,1,104.6,45.4,3,3,4,0,20,1.07,43.75,2722.440087,,4
BA22365-IK'OPT-2194,2404,WW,2,27,E6,TZEEIOR 284,57,56,1,105.6,44.2,4,4,4,0,0,1,20,1509.368192,,4
BA22365-IK'OPT-2195,2405,WW,2,27,E110,TZEEIOR 491,53,54,1,88.6,31,3,6,4,0,16.67,0.92,9.09,1166.013072,,3
BA22365-IK'OPT-2196,2406,WW,2,28,E38,TZEEIOR 344,52,52,0,97.2,42,4,5,5,0,37.5,0.75,16.67,1453.769063,,6
BA22365-IK'OPT-2197,2407,WW,2,28,E180,TZEEIOR 197,51,53,2,149.2,61.2,3,3,3,0,0,0.94,11.76,3824.357298,,3
BA22365-IK'OPT-2198,2408,WW,2,28,E30,TZEEIOR 329,52,52,0,100.2,45,4,6,4,0,11.76,0.76,15.38,1946.666667,,6
BA22365-IK'OPT-2199,2409,WW,2,28,E204,TZEEIOR 339,52,51,1,112.2,42.2,3,2,3,0,16.67,0.89,6.25,2687.145969,,3
BA22365-IK'OPT-2200,2410,WW,2,28,E54,TZEEIOR 376,48,47,1,100.8,42,4,6,4,0,33.33,0.87,7.69,1257.690632,,6
BA22365-IK'OPT-2201,2411,WW,2,28,E9,TZEEIOR 289,55,54,1,99.6,38.4,4,5,3,0,47.06,1.06,5.56,2354.945534,,6
BA22365-IK'OPT-2202,2412,WW,2,28,E141,TZEEIOR 11,57,58,1,115.2,55,4,6,4,0,0,0.86,8.33,1142.745098,,3
BA22365-IK'OPT-2203,2413,WW,2,28,E20,TZEEIOR 305,56,55,1,99.2,49,3,6,3,0,0,0.78,14.29,1941.176471,,6
BA22365-IK'OPT-2204,2414,WW,2,28,E145,TZEEIOR 123,54,54,0,107.2,44,4,5,5,0,23.08,0.77,0,1132.026144,,4
BA22365-IK'OPT-2205,2415,WW,2,28,E71,TZEEIOR 399,55,55,0,128.4,60,3,4,4,0,0,0.93,14.29,1901.960784,,6
BA22365-IK'OPT-2206,2416,WW,2,28,E40,TZEEIOR 346,50,50,0,127.4,64,3,4,5,0,55.56,0.39,28.57,1158.169935,,6
BA22365-IK'OPT-2207,2417,WW,2,28,E210,Check 6 -TZdEEI 9                ,56,55,1,133.4,54,3,4,6,0,0,0.75,33.33,388.2352941,,5
BA22365-IK'OPT-2208,2418,WW,2,28,E100,TZEEIOR 463,48,47,1,118.6,53,2,2,3,0,0,1.17,14.29,3116.470588,,3
BA22365-IK'OPT-2209,2419,WW,2,28,E206, Check 2 -TZdEEI 2               ,55,54,1,132.8,60,4,5,4,0,0,1.15,6.67,1548.888889,,4
BA22365-IK'OPT-2210,2420,WW,2,28,E208, Check 4 -TZEEI 95               ,48,48,0,95.2,40.4,4,7,6,0,0,0.5,0,391.7211329,,7
