Treatment,TY,EM,LA,LLWR,NCMPH,NLPP,NST,PH,PL,PS,LC,LO,LMC,LM,LMVC,LVP,PCU,PCL,PJC,PJP,CS,CSS,CFC,CBC
TR0535,0.76,33.42,473.37,0.92,12.83,9.33,4,47.78,37.58,47.22,4,5,7,2,4,4,5,8,2,0,1,4,2,2
TR0552,1.17,65.92,1921,0.85,12.83,27.33,9,91.49,74.54,112.89,3,5,4,2,1,4,5,5,2,0,1,3,2,2
TR0528,0.23,32.17,0,1.23,2.83,3.83,0,23.94,19.31,26.22,4,5,7,2,4,3,8,8,4,1,1,4,2,4
TR0536,0.42,54.42,108.73,0.84,0,0,0,4.78,8.68,12.22,99,5,6,2,2,3,5,5,3,1,1,1,1,1
TR0505,0.93,26.17,544.29,1.14,16.83,23.83,7.83,49.94,41.31,56.72,4,5,7,2,4,3,5,5,2,1,1,4,2,1
TR0513,0.23,43.17,673.49,1.12,20.83,14.83,7.83,61.94,49.81,61.32,4,5,7,2,4,3,5,5,2,2,1,4,2,1
TR0529,0.33,17.17,361.19,0.9,20.83,27.83,5.83,54.94,45.31,79.72,4,5,7,2,4,3,8,8,4,1,1,4,2,4
TR0498,1.47,29.67,663.29,1.16,35.33,36.33,11.33,63.51,49.3,77.25,4,5,7,2,4,3,5,5,2,2,1,4,2,1
TR0530,0.23,17.17,184.09,1.14,18.83,52.83,3.83,42.04,35.31,52.22,4,5,7,2,4,3,8,8,4,1,1,4,2,4
TR0538,0.52,94.42,350.47,0.88,0,15.33,5,54.78,44.58,58.22,4,3,4,2,4,4,5,5,2,1,1,3,2,1
TR0555,1.24,55.92,1219.25,0.89,13.83,28.33,8,75.79,58.24,104.19,3,1,4,2,1,4,5,5,2,0,1,3,2,1
TR0483,1.13,20.17,770.44,1.16,15.83,21.83,3.83,67.44,57.31,91.22,3,2,4,2,4,3,5,8,2,0,1,4,2,1
TR0491,0.43,29.17,346.76,1.14,18.83,16.83,4.83,36.69,30.64,38.97,4,1,7,2,4,4,5,5,2,2,1,4,2,1
TR0499,0.52,45.17,620.07,1.25,27.83,24.83,7.83,56.31,46.3,64,3,1,7,2,8,3,8,8,2,2,1,4,2,1
TR0507,2.33,37.17,1322.29,1.28,36.83,79.83,20.83,81.94,67.31,110.22,4,5,7,2,8,4,8,8,2,2,1,4,2,1
TR0539,0.27,53.67,89.18,0.92,16.33,6.33,0,27.74,19.37,25.89,3,1,7,1,4,4,8,5,4,1,1,3,2,4
TR0556,1.02,0,303.03,0.88,17.83,14.33,5,37.49,31.54,43.79,3,1,4,2,1,4,5,5,2,0,1,3,2,2
TR0563,1.51,21.42,1288.41,0.92,20.83,31.33,10,79.88,64.58,92.22,4,5,7,2,4,4,5,8,2,0,1,4,2,2
TR0532,0.96,24.42,688.61,0.92,16.83,0.33,6,61.78,46.58,66.22,4,5,7,2,4,4,5,8,2,0,1,4,2,2
TR0549,0.37,15.92,528.48,0.98,11.83,30.33,7,60.49,51.54,64.89,4,1,7,1,4,4,8,5,4,1,1,4,2,4
TR0557,2.17,0,558.49,0.92,26.83,26.33,8,55.49,45.54,76.89,3,1,4,2,1,4,5,5,2,0,1,3,2,1
TR0485,2.2,43.17,604.57,0.91,26.67,11.67,0.67,53.89,41.17,58.78,3,5,4,2,4,4,5,5,2,1,1,3,2,2
TR0493,0.61,28.17,515.69,0.95,20.83,21.83,10.83,68.94,50.36,84.52,4,5,7,2,4,3,5,5,2,2,1,4,2,1
TR0533,1.61,26.42,503.49,0.91,80.83,18.33,6,57.78,45.58,53.22,4,3,7,1,4,4,8,8,2,0,1,4,2,2
TR0550,0.32,28.92,356.87,0.92,12.83,20.33,3,44.49,36.54,58.89,4,1,7,1,4,4,8,5,4,1,1,3,2,2
TR0564,1.41,24.42,962.74,0.9,22.83,17.33,5,74.78,60.58,90.22,4,5,7,2,4,4,5,8,2,0,1,4,2,2
TR0494,0.03,29.17,37.29,1.12,0.83,3.83,0,26.94,21.31,22.22,3,1,7,2,8,3,8,8,4,1,1,4,2,1
TR0502,1.67,30.67,907.89,1.16,22.33,39.33,14.33,60.76,46.9,72.5,4,5,7,2,4,4,5,5,2,2,1,4,2,1
TR0518,0.87,32.67,308.59,1.14,4.33,10.33,1.33,38.01,30.8,41.25,4,5,7,2,8,3,8,8,4,2,1,4,2,4
TR0526,0,18.17,0,1.15,0,16.83,2.83,9.44,8.31,16.22,4,5,7,2,4,3,5,5,4,1,1,4,2,4
TR0534,1.11,24.42,966.81,0.91,23.83,20.33,4,70.78,56.58,78.22,4,5,7,2,4,4,5,8,2,0,1,4,2,2
TR0739,0.52,28.92,265.32,0.89,13.83,20.33,2,44.49,35.74,43.89,4,3,7,1,4,4,8,5,4,1,1,4,2,4
TR0675,0.77,107.67,1528.09,0.96,28.33,20.33,7,91.74,73.87,79.89,3,5,7,2,4,4,5,5,2,1,1,4,2,2
TR0676,0.42,110.67,727.53,0.97,25.33,25.33,8,76.74,60.87,78.89,3,5,7,2,4,4,5,5,2,1,1,3,2,2
TR0716,0.82,18.92,528.78,0.91,18.83,22.33,2,58.49,46.54,51.89,3,3,7,2,4,4,8,8,2,0,1,3,2,1
TR0661,1.08,123.42,570.4,0.86,10.83,24.33,6,70.78,59.58,50.22,4,5,7,2,4,3,8,8,2,0,1,3,2,2
TR0677,3.22,41.67,687.15,0.93,79.33,13.33,3,71.74,54.87,66.89,3,5,4,1,4,4,5,5,2,1,1,4,2,2
TR0709,1.62,96.92,1959.87,0.86,47.83,33.33,10,104.49,88.54,109.89,4,5,7,2,4,3,5,5,2,1,1,4,2,1
TR0717,0.32,27.92,431.51,0.94,2.83,18.33,2,55.49,48.74,60.89,4,3,7,1,4,4,8,5,4,1,1,4,2,4
TR0662,0.5,38.17,760.42,1.02,32.83,5.83,2.83,40.55,31.4,39.08,4,5,4,2,4,4,5,5,2,2,1,4,2,1
TR0678,2.52,41.67,570.37,0.94,76.33,11.33,3,63.74,48.87,59.89,3,5,4,1,4,4,5,5,2,1,1,4,2,2
TR0710,1.97,0,811.46,0.87,19.83,21.33,7,60.49,47.54,82.89,3,5,4,2,1,4,5,5,2,0,1,3,2,1
