State,Villages,Accession,Accesion,Days to emergence,1-PLT Height(cm),1-Nbr of leaf/plant,1-Leaf length,2-Leaf width,Nb OF Suckers,Nb OF Stolons
Oueme,Adjohoun,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Zou,Adjohoun,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Ketou,Adjohoun,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Oueme,Zounnou,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Zou,Zounnou,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Ketou,Zounnou,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Oueme,Sodji,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Zou,Sodji,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Ketou,Sodji,A27,O-A-S corm  36,21,24.42,7,15,15.25,2,2
Oueme,Hounvigue,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Zou,Hounvigue,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Ketou,Hounvigue,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Oueme,Adjohoun,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Zou,Adjohoun,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Ketou,Adjohoun,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Oueme,Zounnou,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Zou,Zounnou,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Ketou,Zounnou,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Oueme,Sodji,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Zou,Sodji,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Ketou,Sodji,A28,O-A-S corm  37,10,33.1,5,14.65,16.75,2,0
Oueme,Hounvigue,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Zou,Hounvigue,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Ketou,Hounvigue,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Oueme,Adjohoun,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Zou,Adjohoun,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Ketou,Adjohoun,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Oueme,Zounnou,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Zou,Zounnou,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Ketou,Zounnou,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Oueme,Sodji,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Zou,Sodji,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Ketou,Sodji,A29,Z-D-Z stolon 21,21,17.25,4,8.2,8.65,0,4
Oueme,Hounvigue,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Zou,Hounvigue,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Ketou,Hounvigue,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Oueme,Adjohoun,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Zou,Adjohoun,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Ketou,Adjohoun,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Oueme,Zounnou,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Zou,Zounnou,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Ketou,Zounnou,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Oueme,Sodji,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Zou,Sodji,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
Ketou,Sodji,A30,P-K-S stolon 13,14,22.25,5,9.53,10.66,4,0
