ENV,GEN,REP,D50F,WT100SE
IB2017,TVu14248,3,54,9.2
IB2017,TVu14253,1,56,14
IB2017,TVu14253,2,49,14.9
IB2017,TVu14253,3,44,14.4
IB2017,TVu14272,1,72,18.1
IB2017,TVu14272,2,74,19.5
IB2017,TVu14272,3,74,17.7
IB2017,TVu14290,1,53,14.2
IB2017,TVu14290,2,60,13.8
IB2017,TVu14290,3,52,14
IB2017,TVu14321,1,58,14.7
IB2017,TVu14321,2,64,13.9
IB2017,TVu14321,3,56,12.9
IB2017,TVu14336,1,61,21
IB2017,TVu14336,2,73,19.2
IB2017,TVu14336,3,68,20.19
IB2017,TVu14345,1,72,12.1
IB2017,TVu14345,2,94,11.6
IB2017,TVu14345,3,73,12.6
IB2017,TVu14346,1,71,11.8
IB2017,TVu14346,2,78,12.1
IB2017,TVu14346,3,77,12.3
IB2017,TVu14393,1,57,18.6
IB2017,TVu14393,2,57,18.1
IB2017,TVu14393,3,61,17.9
IB2017,TVu14401,1,59,15.9
IB2017,TVu14401,2,63,16.5
IB2017,TVu14401,3,58,14
IB2017,TVu14406,1,63,16.8
IB2017,TVu14406,2,64,16.2
IB2017,TVu14406,3,60,15.4
IB2017,TVu14533,1,55,20.1
IB2017,TVu14533,2,47,20.5
IB2017,TVu14533,3,49,19.1
IB2017,TVu14539,1,71,12
IB2017,TVu14539,2,69,11.8
IB2017,TVu14539,3,71,12.2
IB2017,TVu14558,1,57,20.1
IB2017,TVu14558,2,56,17.6
IB2017,TVu14558,3,47,18.2
IB2017,TVu14621,1,64,10.3
IB2017,TVu14621,2,49,10.5
IB2017,TVu14621,3,54,11.4
IB2017,TVu14632,1,63,6.8
IB2017,TVu14632,2,50,7.1
IB2017,TVu14632,3,51,8.3
IB2017,TVu14633,1,52,8
IB2017,TVu14633,2,48,8.7
IB2017,TVu14633,3,49,8.5
IB2017,TVu14635,1,54,22.1
IB2017,TVu14635,2,59,21.6
IB2017,TVu14635,3,59,24.4
IB2017,TVu14683,1,58,12.4
IB2017,TVu14683,2,56,13.1
IB2017,TVu14683,3,56,12.3
IB2017,TVu14691,1,63,10.2
IB2017,TVu14691,2,54,10
IB2017,TVu14691,3,56,10.4
IB2017,TVu14759,1,51,20
IB2017,TVu14759,2,51,20.5
IB2017,TVu14759,3,51,20.2
IB2017,TVu1477,1,63,20
IB2017,TVu1477,2,77,20.5
IB2017,TVu1477,3,.,
IB2017,TVu14788,1,77,13.1
IB2017,TVu14788,2,74,12
IB2017,TVu14788,3,73,12.2
IB2017,TVu14856,1,58,13
IB2017,TVu14856,2,50,12.5
IB2017,TVu14856,3,51,13.4
IB2017,TVu14862,1,46,15.1
IB2017,TVu14862,2,47,15.3
IB2017,TVu14862,3,49,16.1
IB2017,TVu14875,1,63,16.8
IB2017,TVu14875,2,71,16.5
IB2017,TVu14875,3,64,14.2
IB2017,TVu14890,1,56,12.9
IB2017,TVu14890,2,56,12.1
IB2017,TVu14890,3,51,12.3
IB2017,TVu14949,1,63,12.4
IB2017,TVu14949,2,70,18
IB2017,TVu14949,3,75,14.5
IB2017,TVu14970,1,56,11.6
IB2017,TVu14970,2,73,12.1
IB2017,TVu14970,3,60,10.9
IB2017,TVu14971,1,56,13.8
IB2017,TVu14971,2,51,14
IB2017,TVu14971,3,58,14.5
IB2017,TVu14992,1,50,16
IB2017,TVu14992,2,57,15.9
IB2017,TVu14992,3,51,16.22
IB2017,TVu15037,1,58,12
IB2017,TVu15037,2,54,11.9
IB2017,TVu15037,3,52,12.3
IB2017,TVu15053,1,56,11.2
IB2017,TVu15053,2,63,11
IB2017,TVu15053,3,47,12.2
IB2017,TVu15112,1,77,17
IB2017,TVu15112,2,71,16.9
IB2017,TVu15112,3,67,17.3
IB2017,TVu15114,1,58,12.4
IB2017,TVu15114,2,61,12
IB2017,TVu15114,3,49,12
IB2017,TVu15143,1,51,14
IB2017,TVu15143,2,56,13.8
IB2017,TVu15143,3,45,13.1
IB2017,TVu15251,1,51,20
IB2017,TVu15251,2,52,16.5
IB2017,TVu15251,3,46,15.3
IB2017,TVu15299,1,50,17.4
IB2017,TVu15299,2,64,17
IB2017,TVu15299,3,66,16.9
IB2017,TVu15315,1,48,10.8
IB2017,TVu15315,2,51,12.9
IB2017,TVu15315,3,50,14.3
IB2017,TVu1536,1,61,14.5
IB2017,TVu1536,2,77,12.2
IB2017,TVu1536,3,60,12.8
IB2017,TVu15391,1,53,14.5
IB2017,TVu15391,2,74,12
IB2017,TVu15391,3,70,12
IB2017,TVu15400,1,53,8
IB2017,TVu15400,2,60,6.8
IB2017,TVu15400,3,48,6
IB2017,TVu15411,1,63,8
IB2017,TVu15411,2,65,8
IB2017,TVu15411,3,33,8.3
IB2017,TVu15426,1,63,20
IB2017,TVu15426,2,48,20.8
IB2017,TVu15426,3,54,20.4
IB2017,TVu15445,1,50,10.3
IB2017,TVu15445,2,56,9.8
IB2017,TVu15445,3,54,10
IB2017,TVu15450,1,57,18.8
IB2017,TVu15450,2,56,17.9
IB2017,TVu15450,3,54,18
IB2017,TVu15468,1,54,14.8
IB2017,TVu15468,2,57,13.8
IB2017,TVu15468,3,49,14.1
IB2017,TVu15487,1,53,21.4
IB2017,TVu15487,2,56,18
IB2017,TVu15487,3,51,20.3
IB2017,TVu15500,1,60,14
IB2017,TVu15500,2,61,14
IB2017,TVu15500,3,58,14.8
IB2017,TVu1556,1,60,12
IB2017,TVu1556,2,61,12.2
IB2017,TVu1556,3,65,10.1
IB2017,TVu15591,1,63,22.8
IB2017,TVu15591,2,72,22.33
IB2017,TVu15591,3,67,
IB2017,TVu15610,1,57,19.6
IB2017,TVu15610,2,54,20
IB2017,TVu15610,3,56,20.2
IB2017,TVu15636,1,45,12.8
IB2017,TVu15636,2,49,13.6
IB2017,TVu15636,3,43,12.2
IB2017,TVu15639,1,51,19.7
IB2017,TVu15639,2,45,18
IB2017,TVu15639,3,50,17.6
IB2017,TVu15653,1,49,14.5
IB2017,TVu15653,2,49,13.8
IB2017,TVu15653,3,55,13.9
IB2017,TVu15661,1,52,18
IB2017,TVu15661,2,51,18.9
IB2017,TVu15661,3,52,18.5
IB2017,TVu15687,1,53,16
IB2017,TVu15687,2,57,16.9
IB2017,TVu15687,3,49,17.2
IB2017,TVu15694,1,54,11.8
IB2017,TVu15694,2,52,12
IB2017,TVu15694,3,51,16.4
IB2017,TVu15742,1,51,14
IB2017,TVu15742,2,53,12
IB2017,TVu15742,3,48,13.5
IB2017,TVu15775,1,59,12
IB2017,TVu15775,2,60,12
IB2017,TVu15775,3,61,
IB2017,TVu1583,1,53,10
IB2017,TVu1583,2,51,9
IB2017,TVu1583,3,60,9.4
IB2017,TVu15860,1,77,9.2
IB2017,TVu15860,2,56,9.5
IB2017,TVu15860,3,60,8.3
IB2017,TVu15861,1,49,9
IB2017,TVu15861,2,47,9.2
IB2017,TVu15861,3,51,9.2
IB2017,TVu15878,1,84,12.4
IB2017,TVu15878,2,78,12
IB2017,TVu15878,3,70,12.1
IB2017,TVu15913,1,82,12.7
IB2017,TVu15913,2,78,12.3
IB2017,TVu15913,3,87,
IB2017,TVu15926,1,94,.
IB2017,TVu15926,2,,.
IB2017,TVu15926,3,67,7.9
IB2017,TVu15945,1,72,7
IB2017,TVu15945,2,63,7.1
IB2017,TVu15945,3,62,6.9
IB2017,TVu15973,1,69,10.5
IB2017,TVu15973,2,63,11.2
IB2017,TVu15973,3,57,10.4
IB2017,TVu15976,1,58,15.6
IB2017,TVu15976,2,54,13.9
IB2017,TVu15976,3,53,18.9
IB2017,TVu15982,1,57,15
IB2017,TVu15982,2,56,14.5
IB2017,TVu15982,3,60,14.1
IB2017,TVu15995,1,58,13.8
IB2017,TVu15995,2,52,10
IB2017,TVu15995,3,55,12.6
IB2017,TVu1609,1,46,18
IB2017,TVu1609,2,45,18.2
IB2017,TVu1609,3,53,19.3
IB2017,TVu16191,1,61,20
IB2017,TVu16191,2,56,20.6
IB2017,TVu16191,3,58,17.5
IB2017,TVu16220,1,65,
IB2017,TVu16220,2,64,6.8
IB2017,TVu16220,3,57,5.2
IB2017,TVu16237,1,84,12.1
IB2017,TVu16237,2,50,11.8
IB2017,TVu16237,3,52,
IB2017,TVu16253,1,58,14
IB2017,TVu16253,2,56,14.5
IB2017,TVu16253,3,53,
IB2017,TVu16269,1,64,14.5
IB2017,TVu16269,2,66,14.3
IB2017,TVu16269,3,64,12
IB2017,TVu16278,1,58,
IB2017,TVu16278,2,45,12.1
IB2017,TVu16278,3,60,14.2
IB2017,TVu16304,1,56,10.5
IB2017,TVu16304,2,56,12.9
IB2017,TVu16304,3,56,8.9
IB2017,TVu16368,1,57,15.1
IB2017,TVu16368,2,56,14.9
IB2017,TVu16368,3,58,15.7
IB2017,TVu1637,1,52,12.6
IB2017,TVu1637,2,56,13.9
IB2017,TVu1637,3,51,14.5
IB2017,TVu16403,1,65,9.8
IB2017,TVu16403,2,51,10
IB2017,TVu16403,3,49,10.4
IB2017,TVu16408,1,53,12.01
IB2017,TVu16408,2,52,12
IB2017,TVu16408,3,54,11.2
IB2017,TVu16430,1,50,13.4
IB2017,TVu16430,2,56,13
IB2017,TVu16430,3,48,14
IB2017,TVu16449,1,51,12.8
IB2017,TVu16449,2,47,12.5
IB2017,TVu16449,3,49,10.5
IB2017,TVu16461,1,52,17
IB2017,TVu16461,2,50,15.8
IB2017,TVu16461,3,53,14.4
IB2017,TVu16465,1,53,11.8
IB2017,TVu16465,2,54,12.5
IB2017,TVu16465,3,65,13
IB2017,TVu16486,1,52,15.4
IB2017,TVu16486,2,50,15.9
IB2017,TVu16486,3,54,16
IB2017,TVu16504,1,53,14.1
IB2017,TVu16504,2,64,14.4
IB2017,TVu16504,3,54,12.3
IB2017,TVu16505,1,61,15.7
IB2017,TVu16505,2,58,14
IB2017,TVu16505,3,53,14
IB2017,TVu16514,1,59,11.8
IB2017,TVu16514,2,57,14
IB2017,TVu16514,3,53,12.7
IB2017,TVu16521,1,58,7
IB2017,TVu16521,2,61,6.5
IB2017,TVu16521,3,73,6.6
IB2017,TVu16528,1,49,14.3
IB2017,TVu16528,2,57,12.6
IB2017,TVu16528,3,,.
IB2017,TVu1656,1,60,7
IB2017,TVu1656,2,52,6.8
IB2017,TVu1656,3,56,7.1
IB2017,TVu16574,1,50,6.8
IB2017,TVu16574,2,92,6.9
IB2017,TVu16574,3,,.
IB2017,TVu16594,1,60,15.8
IB2017,TVu16594,2,64,15
IB2017,TVu16594,3,56,14.7
IB2017,TVu16722,1,45,16
IB2017,TVu16722,2,46,15.6
IB2017,TVu16722,3,49,14.3
IB2017,TVu1715,1,56,20
IB2017,TVu1715,2,50,18.6
IB2017,TVu1715,3,60,22.7
IB2017,TVu1727,1,63,20
IB2017,TVu1727,2,77,21.2
IB2017,TVu1727,3,67,21.7
IB2017,TVu1775,1,81,
IB2017,TVu1775,2,79,20
IB2017,TVu1775,3,63,19.5
IB2017,TVu1780,1,81,14
IB2017,TVu1780,2,82,14.4
IB2017,TVu1780,3,,
IB2017,TVu1811,1,56,10
IB2017,TVu1811,2,52,11
IB2017,TVu1811,3,60,10.5
IB2017,TVu1886,1,44,9.9
IB2017,TVu1886,2,64,8.7
IB2017,TVu1886,3,45,
IB2017,TVu1916,1,63,12.5
IB2017,TVu1916,2,52,10.1
IB2017,TVu1916,3,50,12
IB2017,TVu201,1,56,16
IB2017,TVu201,2,66,15.4
IB2017,TVu201,3,49,13.8
IB2017,TVu2027,1,83,18
IB2017,TVu2027,2,82,22.6
IB2017,TVu2027,3,113,
IB2017,TVu21,1,51,14
IB2017,TVu21,2,60,16
IB2017,TVu21,3,64,11.8
IB2017,TVu2168,1,81,10
IB2017,TVu2168,2,61,11
IB2017,TVu2168,3,55,10.7
IB2017,TVu2185,1,80,16
IB2017,TVu2185,2,67,10.4
IB2017,TVu2185,3,55,10.9
IB2017,TVu2252,1,81,7
IB2017,TVu2252,2,61,7.4
IB2017,TVu2252,3,52,5.8
IB2017,TVu2280,1,,
IB2017,TVu2280,2,72,17.1
IB2017,TVu2280,3,70,16.9
IB2017,TVu2322,1,,
IB2017,TVu2322,2,,.
IB2017,TVu2322,3,,
IB2017,TVu2398,1,60,8
IB2017,TVu2398,2,56,10.5
IB2017,TVu2398,3,52,8.7
IB2017,TVu2418,1,49,19.9
IB2017,TVu2418,2,46,21.5
IB2017,TVu2418,3,57,22
IB2017,TVu2449,1,64,12.5
IB2017,TVu2449,2,50,10
IB2017,TVu2449,3,49,11.6
IB2017,TVu2500,1,81,22
IB2017,TVu2500,2,70,21
IB2017,TVu2500,3,67,22.3
IB2017,TVu2548,1,57,16.5
IB2017,TVu2548,2,54,17.9
IB2017,TVu2548,3,50,14.2
IB2017,TVu2606,1,60,12
IB2017,TVu2606,2,56,12.1
IB2017,TVu2606,3,61,12.5
IB2017,TVu264,1,74,10.6
IB2017,TVu264,2,63,11.2
IB2017,TVu264,3,64,11.6
IB2017,TVu2680,1,60,16.5
IB2017,TVu2680,2,58,12.2
IB2017,TVu2680,3,68,15.2
IB2017,TVu2723,1,60,12.5
IB2017,TVu2723,2,42,11.8
IB2017,TVu2723,3,50,10.9
IB2017,TVu2736,1,56,10.2
IB2017,TVu2736,2,54,10.7
IB2017,TVu2736,3,68,13
IB2017,TVu2769,1,59,12.5
IB2017,TVu2769,2,60,10.7
IB2017,TVu2769,3,57,11.2
IB2017,TVu2845,1,49,
IB2017,TVu2845,2,58,
IB2017,TVu2845,3,55,
IB2017,TVu2933,1,60,12.5
IB2017,TVu2933,2,60,10.6
IB2017,TVu2933,3,60,11.8
IB2017,TVu2968,1,43,
IB2017,TVu2968,2,42,
IB2017,TVu2968,3,60,7.2
IB2017,TVu2971,1,52,14
IB2017,TVu2971,2,47,11.7
IB2017,TVu2971,3,51,11.5
IB2017,TVu3043,1,59,8
IB2017,TVu3043,2,44,9.4
IB2017,TVu3043,3,55,10.4
IB2017,TVu3076,1,63,
IB2017,TVu3076,2,,
IB2017,TVu3076,3,,
IB2017,TVu3107,1,64,12.5
IB2017,TVu3107,2,58,8.3
IB2017,TVu3107,3,57,11.7
IB2017,TVu3156,1,49,8
IB2017,TVu3156,2,46,10.6
IB2017,TVu3156,3,59,10.1
IB2017,TVu3282,1,81,20.5
IB2017,TVu3282,2,69,19.8
IB2017,TVu3282,3,72,18.4
IB2017,TVu3310,1,81,12.5
IB2017,TVu3310,2,56,11.5
IB2017,TVu3310,3,64,10.2
IB2017,TVu3346,1,45,11.8
IB2017,TVu3346,2,56,10.8
IB2017,TVu3346,3,44,11.2
IB2017,TVu3360,1,63,10.5
IB2017,TVu3360,2,53,8.2
IB2017,TVu3360,3,56,10.2
IB2017,TVu3389,1,,
IB2017,TVu3389,2,57,13.2
IB2017,TVu3389,3,58,12.4
IB2017,TVu3552,1,80,10
IB2017,TVu3552,2,86,11.8
IB2017,TVu3552,3,65,12
IB2017,TVu3565,1,53,12
IB2017,TVu3565,2,52,14.1
IB2017,TVu3565,3,49,12.2
IB2017,TVu3652,1,63,12
IB2017,TVu3652,2,51,13.3
IB2017,TVu3652,3,56,12.4
IB2017,TVu3657,1,59,8
IB2017,TVu3657,2,,.
IB2017,TVu3657,3,,
IB2017,TVu3736,1,53,20.5
IB2017,TVu3736,2,56,19.6
IB2017,TVu3736,3,52,20.3
IB2017,TVu374,1,72,12.8
IB2017,TVu374,2,72,13.5
IB2017,TVu374,3,70,12
IB2017,TVu3745,1,53,14
IB2017,TVu3745,2,51,11.1
IB2017,TVu3745,3,,10.6
IB2017,TVu3804,1,53,20
IB2017,TVu3804,2,49,.
IB2017,TVu3804,3,61,20.5
IB2017,TVu3817,1,67,
IB2017,TVu3817,2,,.
IB2017,TVu3817,3,,
IB2017,TVu3830,1,64,8
IB2017,TVu3830,2,.,
IB2017,TVu3830,3,71,10.6
IB2017,TVu3842,1,65,18.5
IB2017,TVu3842,2,49,18
IB2017,TVu3842,3,73,15.8
IB2017,TVu393,1,78,16
IB2017,TVu393,2,59,16.4
IB2017,TVu393,3,67,15.7
IB2017,TVu3947,1,46,12.5
IB2017,TVu3947,2,52,8.2
IB2017,TVu3947,3,48,9.3
IB2017,TVu3965,1,65,13.8
IB2017,TVu3965,2,59,12
IB2017,TVu3965,3,,
IB2017,TVu3969,1,59,12.5
IB2017,TVu3969,2,57,13.7
IB2017,TVu3969,3,55,13.2
IB2017,TVu4030,1,81,15.5
IB2017,TVu4030,2,71,13.7
IB2017,TVu4030,3,94,14.8
IB2017,TVu408,1,53,8
IB2017,TVu408,2,50,9.8
IB2017,TVu408,3,51,8.7
IB2017,TVu4097,1,65,14.6
IB2017,TVu4097,2,58,12.4
IB2017,TVu4097,3,81,14.1
IB2017,TVu415,1,60,11
IB2017,TVu415,2,63,9.8
IB2017,TVu415,3,52,15
IB2017,TVu43,1,51,8
IB2017,TVu43,2,56,6.4
IB2017,TVu43,3,52,8
IB2017,TVu4316,1,63,6
IB2017,TVu4316,2,57,6.8
IB2017,TVu4316,3,56,5.8
IB2017,TVu4328,1,65,16
IB2017,TVu4328,2,,.
IB2017,TVu4328,3,66,14.8
IB2017,TVu4535,1,53,18.5
IB2017,TVu4535,2,45,19.8
IB2017,TVu4535,3,60,15.1
IB2017,TVu4545,1,65,18.5
IB2017,TVu4545,2,59,18
IB2017,TVu4545,3,64,18.1
IB2017,TVu4557,1,53,14.5
IB2017,TVu4557,2,50,15
IB2017,TVu4557,3,55,14.8
IB2017,TVu456,1,81,14.5
IB2017,TVu456,2,65,14.3
IB2017,TVu456,3,67,12.8
IB2017,TVu4622,1,63,15.1
IB2017,TVu4622,2,53,12
IB2017,TVu4622,3,56,12.6
IB2017,TVu4632,1,81,12
IB2017,TVu4632,2,72,13.8
IB2017,TVu4632,3,60,12.7
IB2017,TVu4669,1,53,16
IB2017,TVu4669,2,50,18.5
IB2017,TVu4669,3,51,
IB2017,TVu467,1,49,14.5
IB2017,TVu467,2,52,12.5
IB2017,TVu467,3,61,13.8
IB2017,TVu4696,1,,
IB2017,TVu4696,2,65,19.7
IB2017,TVu4696,3,68,20.1
IB2017,TVu4711,1,59,16.11
IB2017,TVu4711,2,55,13.45
IB2017,TVu4711,3,55,15.48
IB2017,TVu4760,1,,
IB2017,TVu4760,2,,
IB2017,TVu4760,3,,
IB2017,TVu4761,1,60,
IB2017,TVu4761,2,,.
IB2017,TVu4761,3,,
IB2017,TVu4783,1,59,12.5
IB2017,TVu4783,2,55,12.3
IB2017,TVu4783,3,52,13.1
IB2017,TVu4808,1,59,12.5
IB2017,TVu4808,2,52,12.6
IB2017,TVu4808,3,65,
IB2017,TVu4823,1,56,12.5
IB2017,TVu4823,2,61,12
IB2017,TVu4823,3,58,12.1
IB2017,TVu4923,1,53,
IB2017,TVu4923,2,56,15.1
IB2017,TVu4923,3,50,14.6
IB2017,TVu4943,1,59,15.1
IB2017,TVu4943,2,56,14.5
IB2017,TVu4943,3,65,14.9
IB2017,TVu4963,1,59,12
IB2017,TVu4963,2,,
IB2017,TVu4963,3,,
IB2017,TVu4984,1,57,14.5
IB2017,TVu4984,2,70,13.8
IB2017,TVu4984,3,55,14.7
IB2017,TVu5018,1,59,8
IB2017,TVu5018,2,,.
IB2017,TVu5018,3,80,9.9
IB2017,TVu5107,1,53,14
IB2017,TVu5107,2,54,15.5
IB2017,TVu5107,3,55,16.6
IB2017,TVu523,1,84,12.5
IB2017,TVu523,2,79,14.6
IB2017,TVu523,3,81,14
IB2017,TVu53,1,64,18.5
IB2017,TVu53,2,50,20
IB2017,TVu53,3,51,17.1
IB2017,TVu5307,1,59,18.1
IB2017,TVu5307,2,87,.
IB2017,TVu5307,3,,.
IB2017,TVu5415,1,79,16.5
IB2017,TVu5415,2,79,15.1
IB2017,TVu5415,3,76,13.7
IB2017,TVu5443,1,59,10.5
IB2017,TVu5443,2,54,10.6
IB2017,TVu5443,3,69,10.4
IB2017,TVu5444,1,59,18.5
IB2017,TVu5444,2,56,17.4
